Rank|Team|W|L|T|PF|PA|Power|SoS
1|BALTIMORE|12|3|0|428|252|104.979|100.586
2|CLEVELAND|11|3|1|442|293|103.080|99.098
3|GREEN BAY|8|5|1|342|245|102.809|100.786
4|MINNESOTA|8|5|1|355|296|101.998|100.326
5|DETROIT|7|5|2|280|260|101.854|100.765
6|ST LOUIS|9|3|2|357|331|101.301|98.825
7|LA RAMS|5|7|2|283|339|99.628|100.861
8|WASHINGTON|6|8|0|307|305|98.506|99.245
9|CHICAGO|5|9|0|260|379|98.478|101.078
10|PHILADELPHIA|6|8|0|312|313|98.214|98.884
11|SAN FRANCISCO|4|10|0|236|330|98.183|101.358
12|DALLAS|5|8|1|250|289|97.686|99.207
13|PITTSBURGH|5|9|0|253|315|97.233|99.296
14|NY GIANTS|2|10|2|241|399|95.474|99.707
