Rank,Team,Won,Lost,Tied,PF,PA,Rating
1,DETROIT,10,1,0,350,183,106.764
2,KANSAS CITY,10,1,0,270,218,105.244
3,BUFFALO,9,2,0,320,214,104.528
4,MINNESOTA,9,2,0,274,197,104.333
5,GREEN BAY,8,3,0,288,223,103.934
6,PHILADELPHIA,9,2,0,296,199,103.497
7,BALTIMORE,8,4,0,364,294,102.588
8,PITTSBURGH,8,3,0,252,186,102.259
9,LA CHARGERS,7,4,0,243,175,101.708
10,ARIZONA,6,5,0,244,236,101.548
11,TAMPA BAY,5,6,0,309,263,101.384
12,DENVER,7,5,0,264,202,101.312
13,HOUSTON,7,5,0,285,268,101.072
14,SEATTLE,6,5,0,246,244,100.994
15,ATLANTA,6,5,0,244,274,100.538
16,SAN FRANCISCO,5,6,0,260,260,100.373
17,WASHINGTON,7,5,0,334,277,100.290
18,LA RAMS,5,6,0,233,276,99.770
19,INDIANAPOLIS,5,7,0,242,274,99.609
20,NEW ORLEANS,4,7,0,262,260,98.256
21,MIAMI,5,6,0,215,236,98.230
22,DALLAS,4,7,0,221,319,98.175
23,CINCINNATI,4,7,0,297,296,97.923
24,CHICAGO,4,7,0,221,217,97.874
25,NY JETS,3,8,0,204,242,97.614
26,TENNESSEE,3,8,0,202,290,97.473
27,JACKSONVILLE,2,9,0,208,316,96.127
28,CLEVELAND,3,8,0,186,267,95.707
29,NEW ENGLAND,3,9,0,197,282,95.340
30,LAS VEGAS,2,9,0,206,314,95.300
31,NY GIANTS,2,9,0,163,252,95.117
32,CAROLINA,3,8,0,194,340,95.101
